type,amountOfAttributes,executionTime
hashlist,503,0
hashlist,504,0
hashlist,505,1
hashlist,506,0
hashlist,507,1
hashlist,508,0
hashlist,509,0
hashlist,510,1
hashlist,511,0
hashlist,512,1
hashlist,513,0
hashlist,514,0
hashlist,515,1
hashlist,516,0
hashlist,517,1
hashlist,518,0
hashlist,519,1
hashlist,520,0
hashlist,521,0
hashlist,522,1
hashlist,523,1
hashlist,524,0
hashlist,525,1
hashlist,526,0
hashlist,527,1
hashlist,528,0
hashlist,529,1
hashlist,530,0
hashlist,531,0
hashlist,532,1
hashlist,533,0
hashlist,534,1
hashlist,535,0
hashlist,536,1
hashlist,537,0
hashlist,538,1
hashlist,539,0
hashlist,540,0
hashlist,541,1
hashlist,542,0
hashlist,543,1
hashlist,544,0
hashlist,545,1
hashlist,546,0
hashlist,547,0
hashlist,548,1
hashlist,549,0
hashlist,550,1
hashlist,551,0
hashlist,552,1
hashlist,553,0
hashlist,554,1
hashlist,555,1
hashlist,556,1
hashlist,557,2
hashlist,558,1
hashlist,559,2
hashlist,560,1
hashlist,561,2
hashlist,562,2
hashlist,563,1
hashlist,564,2
hashlist,565,1
hashlist,566,2
hashlist,567,1
hashlist,568,2
hashlist,569,1
hashlist,570,1
hashlist,571,2
hashlist,572,1
hashlist,573,2
hashlist,574,1
hashlist,575,2
hashlist,576,2
hashlist,577,1
hashlist,578,2
hashlist,579,2
hashlist,580,0
hashlist,581,1
hashlist,582,0
hashlist,583,1
hashlist,584,0
hashlist,585,1
hashlist,586,0
hashlist,587,1
hashlist,588,0
hashlist,589,1
hashlist,590,0
hashlist,591,1
hashlist,592,0
hashlist,593,1
hashlist,594,0
hashlist,595,1
hashlist,596,0
hashlist,597,1
hashlist,598,0
hashlist,599,1
hashlist,600,0
hashlist,601,1
hashlist,602,0
hashlist,603,1
hashlist,604,0
hashlist,605,1
hashlist,606,0
hashlist,607,1
hashlist,608,1
hashlist,609,0
hashlist,610,1
hashlist,611,1
hashlist,612,0
hashlist,613,1
hashlist,614,0
hashlist,615,1
hashlist,616,1
hashlist,617,0
