type,amountOfAttributes,executionTime
merkletree,565,1
merkletree,566,0
merkletree,567,0
merkletree,568,0
merkletree,569,1
merkletree,570,0
merkletree,571,0
merkletree,572,1
merkletree,573,0
merkletree,574,0
merkletree,575,0
merkletree,576,1
merkletree,577,0
merkletree,578,0
merkletree,579,0
merkletree,580,1
merkletree,581,0
merkletree,582,0
merkletree,583,1
merkletree,584,0
merkletree,585,0
merkletree,586,0
merkletree,587,1
merkletree,588,1
merkletree,589,0
merkletree,590,0
merkletree,591,0
merkletree,592,1
merkletree,593,0
merkletree,594,0
merkletree,595,1
merkletree,596,0
merkletree,597,0
merkletree,598,1
merkletree,599,0
merkletree,600,0
merkletree,601,0
merkletree,602,1
merkletree,603,0
merkletree,604,0
merkletree,605,1
merkletree,606,0
merkletree,607,0
merkletree,608,0
merkletree,609,1
merkletree,610,0
merkletree,611,0
merkletree,612,1
merkletree,613,0
merkletree,614,0
merkletree,615,1
merkletree,616,0
merkletree,617,0
merkletree,618,1
merkletree,619,0
merkletree,620,0
merkletree,621,1
merkletree,622,0
merkletree,623,0
merkletree,624,1
merkletree,625,0
merkletree,626,0
merkletree,627,1
merkletree,628,0
merkletree,629,0
merkletree,630,0
merkletree,631,1
merkletree,632,0
merkletree,633,0
merkletree,634,1
merkletree,635,0
merkletree,636,0
merkletree,637,1
merkletree,638,0
merkletree,639,0
merkletree,640,1
merkletree,641,0
merkletree,642,0
merkletree,643,1
merkletree,644,0
merkletree,645,0
merkletree,646,0
merkletree,647,1
merkletree,648,1
merkletree,649,0
merkletree,650,0
merkletree,651,1
merkletree,652,0
merkletree,653,0
merkletree,654,1
merkletree,655,0
merkletree,656,0
merkletree,657,0
merkletree,658,1
merkletree,659,0
merkletree,660,0
merkletree,661,1
merkletree,662,0
merkletree,663,1
merkletree,664,0
merkletree,665,0
merkletree,666,0
merkletree,667,1
merkletree,668,0
merkletree,669,1
merkletree,670,0
merkletree,671,0
merkletree,672,1
merkletree,673,0
merkletree,674,0
merkletree,675,1
merkletree,676,0
merkletree,677,1
merkletree,678,0
merkletree,679,0
merkletree,680,1
merkletree,681,0
merkletree,682,0
merkletree,683,1
merkletree,684,0
merkletree,685,0
merkletree,686,1
merkletree,687,0
merkletree,688,0
merkletree,689,1
merkletree,690,0
merkletree,691,0
merkletree,692,1
merkletree,693,0
merkletree,694,0
merkletree,695,1
merkletree,696,0
merkletree,697,0
merkletree,698,1
merkletree,699,0
merkletree,700,0
merkletree,701,1
merkletree,702,0
merkletree,703,1
merkletree,704,0
merkletree,705,0
merkletree,706,1
merkletree,707,0
merkletree,708,0
merkletree,709,1
merkletree,710,0
merkletree,711,1
merkletree,712,0
merkletree,713,1
merkletree,714,0
merkletree,715,1
merkletree,716,0
merkletree,717,0
merkletree,718,1
merkletree,719,0
merkletree,720,0
merkletree,721,1
merkletree,722,0
merkletree,723,0
merkletree,724,1
merkletree,725,0
merkletree,726,1
merkletree,727,0
merkletree,728,0
merkletree,729,1
merkletree,730,0
merkletree,731,0
merkletree,732,1
merkletree,733,0
merkletree,734,0
merkletree,735,1
merkletree,736,0
merkletree,737,1
merkletree,738,0
merkletree,739,0
merkletree,740,1
merkletree,741,0
merkletree,742,1
merkletree,743,0
merkletree,744,1
merkletree,745,0
merkletree,746,0
merkletree,747,1
merkletree,748,0
merkletree,749,0
merkletree,750,1
merkletree,751,0
merkletree,752,1
merkletree,753,0
merkletree,754,0
merkletree,755,1
merkletree,756,1
merkletree,757,0
merkletree,758,0
merkletree,759,1
merkletree,760,0
merkletree,761,1
merkletree,762,0
merkletree,763,1
merkletree,764,0
merkletree,765,0
merkletree,766,1
